X,Y
600000,7.65113E-06
601006.7114,7.65186E-06
602013.4228,7.65259E-06
603020.1342,7.6533E-06
604026.8456,7.654E-06
605033.557,7.65469E-06
606040.2685,7.65537E-06
607046.9799,7.65604E-06
608053.6913,7.65669E-06
609060.4027,7.65734E-06
610067.1141,7.65797E-06
611073.8255,7.65859E-06
612080.5369,7.6592E-06
613087.2483,7.6598E-06
614093.9597,7.66038E-06
615100.6711,7.66096E-06
616107.3826,7.66152E-06
617114.094,7.66208E-06
618120.8054,7.66262E-06
619127.5168,7.66315E-06
620134.2282,7.66367E-06
621140.9396,7.66418E-06
622147.651,7.66468E-06
623154.3624,7.66517E-06
624161.0738,7.66565E-06
625167.7852,7.66611E-06
626174.4966,7.66657E-06
627181.2081,7.66701E-06
628187.9195,7.66745E-06
629194.6309,7.66787E-06
630201.3423,7.66829E-06
631208.0537,7.66869E-06
632214.7651,7.66908E-06
633221.4765,7.66947E-06
634228.1879,7.66984E-06
635234.8993,7.6702E-06
636241.6107,7.67055E-06
637248.3221,7.6709E-06
638255.0336,7.67123E-06
639261.745,7.67155E-06
640268.4564,7.67186E-06
641275.1678,7.67216E-06
642281.8792,7.67246E-06
643288.5906,7.67274E-06
644295.302,7.67301E-06
645302.0134,7.67327E-06
646308.7248,7.67353E-06
647315.4362,7.67377E-06
648322.1477,7.674E-06
649328.8591,7.67423E-06
650335.5705,7.67444E-06
651342.2819,7.67465E-06
652348.9933,7.67484E-06
653355.7047,7.67503E-06
654362.4161,7.67521E-06
655369.1275,7.67537E-06
656375.8389,7.67553E-06
657382.5503,7.67568E-06
658389.2617,7.67582E-06
659395.9732,7.67595E-06
660402.6846,7.67607E-06
661409.396,7.67618E-06
662416.1074,7.67629E-06
663422.8188,7.67638E-06
664429.5302,7.67647E-06
665436.2416,7.67654E-06
666442.953,7.67661E-06
667449.6644,7.67667E-06
668456.3758,7.67672E-06
669463.0872,7.67676E-06
670469.7987,7.67679E-06
671476.5101,7.67681E-06
672483.2215,7.67683E-06
673489.9329,7.67683E-06
674496.6443,7.67683E-06
675503.3557,7.67682E-06
676510.0671,7.6768E-06
677516.7785,7.67677E-06
678523.4899,7.67674E-06
679530.2013,7.67669E-06
680536.9128,7.67664E-06
681543.6242,7.67658E-06
682550.3356,7.67651E-06
683557.047,7.67643E-06
684563.7584,7.67634E-06
685570.4698,7.67625E-06
686577.1812,7.67615E-06
687583.8926,7.67604E-06
688590.604,7.67592E-06
689597.3154,7.67579E-06
690604.0268,7.67566E-06
691610.7383,7.67551E-06
692617.4497,7.67536E-06
693624.1611,7.67521E-06
694630.8725,7.67504E-06
695637.5839,7.67487E-06
696644.2953,7.67468E-06
697651.0067,7.67449E-06
698657.7181,7.6743E-06
699664.4295,7.67409E-06
700671.1409,7.67388E-06
701677.8523,7.67366E-06
702684.5638,7.67343E-06
703691.2752,7.6732E-06
704697.9866,7.67295E-06
705704.698,7.6727E-06
706711.4094,7.67245E-06
707718.1208,7.67218E-06
708724.8322,7.67191E-06
709731.5436,7.67163E-06
710738.255,7.67134E-06
711744.9664,7.67105E-06
712751.6779,7.67075E-06
713758.3893,7.67044E-06
714765.1007,7.67012E-06
715771.8121,7.6698E-06
716778.5235,7.66947E-06
717785.2349,7.66913E-06
718791.9463,7.66879E-06
719798.6577,7.66844E-06
720805.3691,7.66808E-06
721812.0805,7.66771E-06
722818.7919,7.66734E-06
723825.5034,7.66696E-06
724832.2148,7.66658E-06
725838.9262,7.66618E-06
726845.6376,7.66578E-06
727852.349,7.66538E-06
728859.0604,7.66497E-06
729865.7718,7.66455E-06
730872.4832,7.66412E-06
731879.1946,7.66369E-06
732885.906,7.66325E-06
733892.6174,7.6628E-06
734899.3289,7.66235E-06
735906.0403,7.66189E-06
736912.7517,7.66142E-06
737919.4631,7.66095E-06
738926.1745,7.66047E-06
739932.8859,7.65999E-06
740939.5973,7.6595E-06
741946.3087,7.659E-06
742953.0201,7.65849E-06
743959.7315,7.65798E-06
744966.443,7.65747E-06
745973.1544,7.65694E-06
746979.8658,7.65641E-06
747986.5772,7.65588E-06
748993.2886,7.65534E-06
750000,7.65479E-06
